Hands,2,3,4,5,6,7,8,9,10,A
8,S,S,S,S,S,H,H,H,H,H
9,D,D,D,D,D,H,H,H,H,H
10,D,D,D,D,D,H,H,H,H,D
11,D,D,D,D,D,H,H,D,D,D
12,S,S,S,S,S,H,H,H,H,H
13,S,S,S,S,S,H,H,H,H,H
14,S,S,S,S,S,H,H,H,H,H
15,S,S,S,S,S,H,H,H,S,S
16,S,S,S,S,S,S,H,S,S,S
17,S,S,S,S,S,S,S,S,S,S
"2,2",S,P,P,S,S,P,P,H,P,H
"3,3",P,S,S,S,P,P,P,P,P,P
"4,4",S,S,H,H,H,H,P,H,H,H
"5,5",D,D,D,D,D,H,H,H,D,H
"6,6",S,S,S,S,S,P,P,P,H,P
"7,7",P,S,P,S,P,P,P,P,P,P
"8,8",P,P,P,P,P,P,P,P,P,P
"9,9",S,S,S,S,S,S,P,P,P,P
"10,10",S,S,S,S,S,S,S,S,S,S
"A,A",P,P,P,P,P,P,P,P,P,P
"A,2",H,H,H,D,H,H,H,H,H,H
"A,3",H,D,D,D,H,H,H,H,H,H
"A,4",H,D,D,D,D,H,H,H,H,H
"A,5",D,D,D,D,D,H,H,H,H,H
"A,6",D,D,D,D,D,H,H,H,H,H
"A,7",S,S,S,S,S,S,D,D,D,D
"A,8",S,S,S,S,S,S,S,S,S,S
"A,9",S,S,S,S,S,S,S,S,S,S
"A,10",S,S,S,S,S,S,S,S,S,S
