Hands,2,3,4,5,6,7,8,9,10,A
8,5531,5474,5326,5469,5464,5560,5632,5493,22194,5431
9,2783,2812,2642,2690,2668,2764,2738,2743,11038,2711
10,2753,2591,2676,2789,2685,2754,2746,2801,11084,2938
11,3574,3648,3605,3663,3687,3734,3629,3537,14685,3669
12,6136,6385,6443,6439,6593,6393,6393,6382,25559,6477
13,6352,6269,6324,6434,6330,6276,6286,6416,25471,6456
14,5610,5416,5414,5594,5409,5616,5509,5475,21993,5465
15,5428,5479,5535,5390,5526,5468,5463,5385,21706,5569
16,4508,4720,4489,4529,4473,4484,4602,4579,18359,4557
17,17398,17356,17540,17407,17494,17347,17385,17285,69165,17161
"2,2",430,426,433,481,431,451,419,443,1836,480
"3,3",440,404,448,459,454,456,432,474,1727,439
"4,4",470,460,414,468,445,412,448,458,1706,436
"5,5",456,435,429,408,449,458,443,482,1792,432
"6,6",451,437,418,450,417,435,475,444,1719,451
"7,7",462,381,441,455,405,434,442,440,1856,474
"8,8",449,443,429,465,409,399,408,483,1757,424
"9,9",473,426,463,420,432,430,445,415,1764,414
"10,10",1753,1792,1841,1715,1774,1761,1755,1741,7083,1782
"A,A",435,465,445,473,433,442,418,423,1779,425
"A,2",878,887,921,961,928,916,900,831,3600,827
"A,3",938,850,922,866,872,874,915,865,3709,890
"A,4",868,880,893,906,888,878,919,929,3711,904
"A,5",910,937,932,940,970,871,882,904,3614,873
"A,6",924,952,909,918,888,955,889,933,3592,885
"A,7",927,921,922,935,886,902,943,924,3619,912
"A,8",912,976,905,891,903,895,887,957,3719,890
"A,9",938,955,850,897,878,898,946,889,3659,905
"A,10",3687,3660,3633,3601,3608,3628,3647,3681,14653,3609
